TRANSACTION_TYPE;TRANSACTION_DATE;TRANSACTION_REFERENCE;MERCHANT;TOTAL
"Lodged GPC";"26/02/2013";"411438370";"Hogg Robinson Group Ltd";"586.0"
"Lodged GPC";"28/02/2013";"412119300";"Hogg Robinson Group Ltd";"3378.0"
"Lodged GPC";"28/02/2013";"412119299";"Hogg Robinson Group Ltd";"3378.0"
"Lodged GPC";"13/02/2013";"Statement 5 Mar 2013";"EC GROUP";"1117.79"
"Lodged GPC";"13/02/2013";"Statement 5 Mar 2013";"EC GROUP";"831.41"
"Lodged GPC";"13/02/2013";"Statement 5 Mar 2013";"EC GROUP";"9831.23"
"Individual GPC";"12/2/2013";"PCCL1711764";"SIGHTANDSOUND.CO.U";"845.94"
"Individual GPC";"12/3/2013";"PCCL1711487";"SOUTH EAST DRAWING OFF V";"710.59"
"Individual GPC";"12/3/2013";"PCCL1711792";"Shanghai Rui Jing Bin Gua";"863.96"
"Individual GPC";"12/11/2013";"PCCL1712622";"ISTORAGE";"531.6"
"Individual GPC";"12/11/2013";"PCCL1712495";"THE PAPER COMPANY";"508.8"
"Individual GPC";"12/20/2013";"PCCL1712499";"THE PAPER COMPANY";"508.8"
"Individual GPC";"12/20/2013";"PCCL1712500";"THE PAPER COMPANY";"594.0"
"Individual GPC";"12/20/2013";"PCCL1712501";"THE PAPER COMPANY";"594.0"
"Individual GPC";"12/20/2013";"PCCL1712502";"THE PAPER COMPANY";"594.0"
"Lodged GPC";"02/12/2013";"468597599";"HOGG ROBINSON GROUP LTD";"520.71"
"Lodged GPC";"03/12/2013";"468896928";"HOGG ROBINSON GROUP LTD";"581.3"
"Lodged GPC";"05/12/2013";"470194286";"HOGG ROBINSON GROUP LTD";"601.7"
"Lodged GPC";"05/12/2013";"470476753";"HOGG ROBINSON GROUP LTD";"602.21"
"Lodged GPC";"06/12/2013";"469640049";"HOGG ROBINSON GROUP LTD";"692.71"
"Lodged GPC";"06/12/2013";"469640050";"HOGG ROBINSON GROUP LTD";"692.71"
"Lodged GPC";"06/12/2013";"469803060";"HOGG ROBINSON GROUP LTD";"539.23"
"Lodged GPC";"09/12/2013";"469802868";"HOGG ROBINSON GROUP LTD";"1936.0"
"Lodged GPC";"10/12/2013";"470776510";"HOGG ROBINSON GROUP LTD";"533.27"
"Lodged GPC";"11/12/2013";"471480558";"HOGG ROBINSON GROUP LTD";"696.05"
"Lodged GPC";"11/12/2013";"471480557";"HOGG ROBINSON GROUP LTD";"719.49"
"Lodged GPC";"11/12/2013";"470776345";"HOGG ROBINSON GROUP LTD";"730.01"
"Lodged GPC";"11/12/2013";"470776347";"HOGG ROBINSON GROUP LTD";"730.01"
"Lodged GPC";"13/12/2013";"471220730";"HOGG ROBINSON GROUP LTD";"1669.65"
"Lodged GPC";"18/12/2013";"472745951";"HOGG ROBINSON GROUP LTD";"631.91"
"Lodged GPC";"18/12/2013";"472338161";"HOGG ROBINSON GROUP LTD";"581.3"
"Lodged GPC";"18/12/2013";"472745961";"HOGG ROBINSON GROUP LTD";"590.61"
"Lodged GPC";"19/12/2013";"472615437";"HOGG ROBINSON GROUP LTD";"1992.25"
"Lodged GPC";"19/12/2013";"472337983";"HOGG ROBINSON GROUP LTD";"3688.49"
"Lodged GPC";"20/12/2013";"473031912";"HOGG ROBINSON GROUP LTD";"763.32"
"Lodged GPC";"20/12/2013";"473031913";"HOGG ROBINSON GROUP LTD";"763.32"
"Lodged GPC";"23/12/2013";"473031993";"HOGG ROBINSON GROUP LTD";"2871.05"
"Lodged GPC";"23/12/2013";"473031994";"HOGG ROBINSON GROUP LTD";"2871.05"
"Individual GPC";"11/1/2013";"PCCL1711359";"WWW.KEYTOOLS.CO.UK";"1616.4"
"Individual GPC";"11/5/2013";"PCCL1711752";"BANNER BUSINESS SERVIC";"755.91"
"Individual GPC";"11/12/2013";"PCCL1712083";"VIKING";"615.85"
"Individual GPC";"11/15/2013";"PCCL1712014";"Taj Hotels International";"1535.46"
"Individual GPC";"11/15/2013";"PCCL1712345";"WHYGO EUROPE LIMIT";"561.57"
"Individual GPC";"11/19/2013";"PCCL1711478";"CES MARKETING LTD";"612.0"
"Individual GPC";"11/19/2013";"PCCL1711479";"CES MARKETING LTD";"612.0"
"Individual GPC";"11/19/2013";"PCCL1711640";"KONICA MINOLTA";"602.66"
"Individual GPC";"11/26/2013";"PCCL1711753";"BANNER BUSINESS SERVIC";"658.93"
"Individual GPC";"11/29/2013";"PCCL1711762";"SIGHTANDSOUND.CO.U";"605.94"
"Individual GPC";"11/29/2013";"PCCL1711763";"SIGHTANDSOUND.CO.U";"965.94"
"Individual GPC";"11/29/2013";"PCCL1711761";"DRI NUANCE";"554.99"
"Lodged GPC";"05/11/2013";"462552720";"HOGG ROBINSON GROUP LTD";"7815.85"
"Lodged GPC";"05/11/2013";"462638476";"HOGG ROBINSON GROUP LTD";"2510.3"
"Lodged GPC";"05/11/2013";"462638477";"HOGG ROBINSON GROUP LTD";"3295.3"
"Lodged GPC";"05/11/2013";"462720377";"HOGG ROBINSON GROUP LTD";"836.84"
"Lodged GPC";"06/11/2013";"464122761";"HOGG ROBINSON GROUP LTD";"739.93"
"Lodged GPC";"06/11/2013";"464122762";"HOGG ROBINSON GROUP LTD";"739.93"
"Lodged GPC";"14/11/2013";"465435616";"HOGG ROBINSON GROUP LTD";"640.15"
"Lodged GPC";"14/11/2013";"465435617";"HOGG ROBINSON GROUP LTD";"1026.83"
"Lodged GPC";"14/11/2013";"465435625";"HOGG ROBINSON GROUP LTD";"507.05"
"Lodged GPC";"14/11/2013";"465435626";"HOGG ROBINSON GROUP LTD";"702.2"
"Lodged GPC";"18/11/2013";"466221821";"HOGG ROBINSON GROUP LTD";"-4381.65"
"Lodged GPC";"20/11/2013";"466590295";"HOGG ROBINSON GROUP LTD";"518.07"
"Lodged GPC";"21/11/2013";"466994504";"HOGG ROBINSON GROUP LTD";"656.39"
"Lodged GPC";"27/11/2013";"467274434";"HOGG ROBINSON GROUP LTD";"-1383.2"
"Lodged GPC";"27/11/2013";"467593068";"HOGG ROBINSON GROUP LTD";"-949.0"
"Lodged GPC";"28/11/2013";"467595219";"HOGG ROBINSON GROUP LTD";"-3801.19"
"Lodged GPC";"26/11/2013";"468899411";"HOGG ROBINSON GROUP LTD";"600.86"
"Lodged GPC";"28/11/2013";"468899431";"HOGG ROBINSON GROUP LTD";"538.36"
"Lodged GPC";"06/11/2013";"462655263";"HOGG ROBINSON GROUP LTD";"1520.35"
"Lodged GPC";"06/11/2013";"462670819";"HOGG ROBINSON GROUP LTD";"995.3"
"Lodged GPC";"06/11/2013";"462784445";"HOGG ROBINSON GROUP LTD";"1724.45"
"Lodged GPC";"06/11/2013";"463296280";"HOGG ROBINSON GROUP LTD";"2322.07"
"Lodged GPC";"06/11/2013";"463296281";"HOGG ROBINSON GROUP LTD";"4817.68"
"Lodged GPC";"08/11/2013";"463300107";"HOGG ROBINSON GROUP LTD";"5414.85"
"Lodged GPC";"11/11/2013";"463806715";"HOGG ROBINSON GROUP LTD";"4510.95"
"Lodged GPC";"11/11/2013";"463806716";"HOGG ROBINSON GROUP LTD";"4510.95"
"Lodged GPC";"11/11/2013";"463806717";"HOGG ROBINSON GROUP LTD";"3756.25"
"Lodged GPC";"12/11/2013";"464123151";"HOGG ROBINSON GROUP LTD";"3918.75"
"Lodged GPC";"15/11/2013";"464835984";"HOGG ROBINSON GROUP LTD";"1046.94"
"Lodged GPC";"15/11/2013";"464847773";"HOGG ROBINSON GROUP LTD";"1424.2"
"Lodged GPC";"15/11/2013";"465431320";"HOGG ROBINSON GROUP LTD";"1929.8"
"Lodged GPC";"15/11/2013";"465435435";"HOGG ROBINSON GROUP LTD";"631.68"
"Lodged GPC";"19/11/2013";"465440045";"HOGG ROBINSON GROUP LTD";"2112.65"
"Lodged GPC";"19/11/2013";"465440046";"HOGG ROBINSON GROUP LTD";"2112.65"
"Lodged GPC";"20/11/2013";"466018924";"HOGG ROBINSON GROUP LTD";"868.95"
"Lodged GPC";"21/11/2013";"466236890";"HOGG ROBINSON GROUP LTD";"815.84"
"Lodged GPC";"25/11/2013";"466991695";"HOGG ROBINSON GROUP LTD";"1049.35"
"Lodged GPC";"26/11/2013";"467274442";"HOGG ROBINSON GROUP LTD";"581.3"
"Lodged GPC";"28/11/2013";"468022839";"HOGG ROBINSON GROUP LTD";"2083.7"
"Lodged GPC";"28/11/2013";"468022840";"HOGG ROBINSON GROUP LTD";"2083.7"
"Lodged GPC";"28/11/2013";"468597686";"HOGG ROBINSON GROUP LTD";"711.5"
"Lodged GPC";"28/11/2013";"468597687";"HOGG ROBINSON GROUP LTD";"812.5"
"Individual GPC";"10/3/2013";"PCCL1709535";"CIVIL SERVICE LEARNING";"793.2"
"Individual GPC";"10/8/2013";"PCCL1710363";"ONLINE ERGONOMICS";"1127.47"
"Individual GPC";"10/10/2013";"PCCL1711083";"STATIONERY OFFICE BOOK";"914.23"
"Individual GPC";"10/10/2013";"PCCL1710746";"INSIGHT";"1033.42"
"Individual GPC";"10/11/2013";"PCCL1711076";"MOMENTUMCOA";"540.7"
"Individual GPC";"10/15/2013";"PCCL1711312";"EUROPEAN INSTITUTE FOR ADVANCED STUDIES IN MANAGEMENT (EIASM)";"511.69"
"Individual GPC";"10/16/2013";"PCCL1710747";"KELWAY (UK) LTD";"1619.36"
"Individual GPC";"10/16/2013";"PCCL1711193";"BJ KERRY CENTRE HOTEL CO";"893.3"
"Individual GPC";"10/16/2013";"PCCL1711027";"EUROSTAR ACC";"593.0"
"Individual GPC";"10/18/2013";"PCCL1710374";"BACKCARE SOLUTIONS LTD";"1568.91"
"Individual GPC";"10/18/2013";"PCCL1710375";"ONLINE ERGONOMICS";"1831.14"
"Individual GPC";"10/18/2013";"PCCL1711319";"BRITISH A   1258503556454";"651.5"
"Individual GPC";"10/24/2013";"PCCL1710378";"ONLINE ERGONOMICS";"899.2"
"Individual GPC";"10/24/2013";"PCCL1710379";"ONLINE ERGONOMICS";"1111.14"
"Individual GPC";"10/25/2013";"PCCL1710682";"RE WORK X LTD";"870.0"
"Individual GPC";"10/28/2013";"PCCL1710489";"QUEEN ELIZABETH II";"600.6"
"Individual GPC";"10/28/2013";"PCCL1711325";"HOTEL HUIS TER DUIN";"590.2"
"Individual GPC";"10/28/2013";"PCCL1711326";"HOTEL HUIS TER DUIN";"590.2"
"Individual GPC";"10/31/2013";"PCCL1710615";"HUB WESTMINSTER";"585.6"
"Lodged GPC";"01/10/2013";"455003153";"HOGG ROBINSON GROUP LTD";"1473.2"
"Lodged GPC";"01/10/2013";"455003158";"HOGG ROBINSON GROUP LTD";"1072.65"
"Lodged GPC";"01/10/2013";"455003150";"HOGG ROBINSON GROUP LTD";"981.45"
"Lodged GPC";"02/10/2013";"455320894";"HOGG ROBINSON GROUP LTD";"543.25"
"Lodged GPC";"02/10/2013";"455321158";"HOGG ROBINSON GROUP LTD";"1058.1"
"Lodged GPC";"10/1/2013";"455003153";"HOGG ROBINSON GROUP LTD";"1473.2"
"Lodged GPC";"10/1/2013";"455003158";"HOGG ROBINSON GROUP LTD";"1072.65"
"Lodged GPC";"01/10/2013";"455003150";"HOGG ROBINSON GROUP LTD";"981.45"
"Lodged GPC";"10/2/2013";"455320894";"HOGG ROBINSON GROUP LTD";"543.25"
"Lodged GPC";"10/2/2013";"455321158";"HOGG ROBINSON GROUP LTD";"1058.1"
"Lodged GPC";"10/2/2013";"455700102";"HOGG ROBINSON GROUP LTD";"1383.46"
"Lodged GPC";"10/3/2013";"455689336";"HOGG ROBINSON GROUP LTD";"2889.1"
"Lodged GPC";"10/3/2013";"455689337";"HOGG ROBINSON GROUP LTD";"2889.1"
"Lodged GPC";"10/3/2013";"455692607";"HOGG ROBINSON GROUP LTD";"3710.35"
"Lodged GPC";"10/3/2013";"455702415";"HOGG ROBINSON GROUP LTD";"738.44"
"Lodged GPC";"03/10/2013";"455692603";"HOGG ROBINSON GROUP LTD";"611.5"
"Lodged GPC";"10/4/2013";"455990111";"HOGG ROBINSON GROUP LTD";"715.13"
"Lodged GPC";"10/4/2013";"455702563";"HOGG ROBINSON GROUP LTD";"683.71"
"Lodged GPC";"04/10/2013";"456261421";"HOGG ROBINSON GROUP LTD";"598.06"
"Lodged GPC";"05/10/2013";"456257754";"HOGG ROBINSON GROUP LTD";"4088.84"
"Lodged GPC";"10/7/2013";"456263136";"HOGG ROBINSON GROUP LTD";"683.71"
"Lodged GPC";"07/10/2013";"456258841";"HOGG ROBINSON GROUP LTD";"664.5"
"Lodged GPC";"07/10/2013";"456258842";"HOGG ROBINSON GROUP LTD";"664.5"
"Lodged GPC";"10/9/2013";"456817492";"HOGG ROBINSON GROUP LTD";"5571.85"
"Lodged GPC";"10/9/2013";"456817237";"HOGG ROBINSON GROUP LTD";"6055.85"
"Lodged GPC";"10/10/2013";"456988726";"HOGG ROBINSON GROUP LTD";"838.05"
"Lodged GPC";"10/10/2013";"457195049";"HOGG ROBINSON GROUP LTD";"684.31"
"Lodged GPC";"10/10/2013";"457195091";"HOGG ROBINSON GROUP LTD";"684.31"
"Lodged GPC";"10/10/2013";"457112261";"HOGG ROBINSON GROUP LTD";"5838.35"
"Lodged GPC";"10/10/2013";"457112263";"HOGG ROBINSON GROUP LTD";"6198.85"
"Lodged GPC";"10/10/2013";"457112262";"HOGG ROBINSON GROUP LTD";"5838.35"
"Lodged GPC";"10/11/2013";"457195092";"HOGG ROBINSON GROUP LTD";"684.31"
"Lodged GPC";"10/11/2013";"457195093";"HOGG ROBINSON GROUP LTD";"684.31"
"Lodged GPC";"10/15/2013";"458042983";"HOGG ROBINSON GROUP LTD";"1136.95"
"Lodged GPC";"15/10/2013";"458042981";"HOGG ROBINSON GROUP LTD";"1136.95"
"Lodged GPC";"15/10/2013";"458042982";"HOGG ROBINSON GROUP LTD";"1136.95"
"Lodged GPC";"10/16/2013";"458330563";"HOGG ROBINSON GROUP LTD";"724.38"
"Lodged GPC";"10/17/2013";"459042935";"HOGG ROBINSON GROUP LTD";"795.42"
"Lodged GPC";"10/18/2013";"458719588";"HOGG ROBINSON GROUP LTD";"3101.55"
"Lodged GPC";"21/10/2013";"459453800";"HOGG ROBINSON GROUP LTD";"509.9"
"Lodged GPC";"21/10/2013";"459453784";"HOGG ROBINSON GROUP LTD";"934.21"
"Lodged GPC";"10/22/2013";"459451449";"HOGG ROBINSON GROUP LTD";"1142.15"
"Lodged GPC";"10/22/2013";"459451450";"HOGG ROBINSON GROUP LTD";"1142.15"
"Lodged GPC";"10/22/2013";"459867740";"HOGG ROBINSON GROUP LTD";"559.96"
"Lodged GPC";"10/22/2013";"459867733";"HOGG ROBINSON GROUP LTD";"509.9"
"Lodged GPC";"10/22/2013";"459451446";"HOGG ROBINSON GROUP LTD";"3740.65"
"Lodged GPC";"22/10/2013";"459867734";"HOGG ROBINSON GROUP LTD";"509.9"
"Lodged GPC";"10/24/2013";"460295537";"HOGG ROBINSON GROUP LTD";"1373.4"
"Lodged GPC";"10/24/2013";"460301333";"HOGG ROBINSON GROUP LTD";"2782.4"
"Lodged GPC";"10/24/2013";"460301331";"HOGG ROBINSON GROUP LTD";"549.9"
"Lodged GPC";"10/24/2013";"460301332";"HOGG ROBINSON GROUP LTD";"549.9"
"Lodged GPC";"10/24/2013";"460295530";"HOGG ROBINSON GROUP LTD";"568.3"
"Lodged GPC";"10/25/2013";"460509238";"HOGG ROBINSON GROUP LTD";"1155.55"
"Individual GPC";"9/4/2013";"PCCL1708629";"CIVIL SERVICE LEARNING";"883.2"
"Individual GPC";"9/5/2013";"PCCL1709317";"CES MARKETING LTD";"510.0"
"Individual GPC";"9/6/2013";"PCCL1709320";"CES MARKETING LTD";"510.0"
"Individual GPC";"9/6/2013";"PCCL1709621";"ISTORAGE LTD";"1633.2"
"Individual GPC";"9/6/2013";"PCCL1710132";"HOTEL HUIS TER DUIN";"664.33"
"Individual GPC";"9/10/2013";"PCCL1709532";"CIVIL SERVICE LEARNING";"793.2"
"Individual GPC";"9/11/2013";"PCCL1709323";"SOUTH EAST DRAWING OFFICE LTD";"527.4"
"Individual GPC";"9/17/2013";"PCCL1709761";"HOUSE OF COMMONS";"500.0"
"Individual GPC";"9/18/2013";"PCCL1709324";"SOUTH EAST DRAWING OFFICE LTD";"527.42"
"Individual GPC";"9/19/2013";"PCCL1709273";"POSTURITE (UK) LTD";"793.2"
"Individual GPC";"9/24/2013";"PCCL1709281";"WWW.ERONOMICS.CO.";"1307.64"
"Individual GPC";"9/24/2013";"PCCL1709534";"PAYPAL  ASDC";"558.0"
"Individual GPC";"9/26/2013";"PCCL1709284";"ONLINE ERGONOMICS";"1114.8"
"Individual GPC";"9/26/2013";"PCCL1709623";"SECURITY SERVICES GROUP";"1233.0"
"Lodged GPC";"03/09/2013";"449234242";"HOGG ROBINSON GROUP LTD";"898.43"
"Lodged GPC";"03/09/2013";"449234241";"HOGG ROBINSON GROUP LTD";"898.43"
"Lodged GPC";"06/09/2013";"450173286";"HOGG ROBINSON GROUP LTD";"640.37"
"Lodged GPC";"06/09/2013";"449907286";"HOGG ROBINSON GROUP LTD";"2422.8"
"Lodged GPC";"06/09/2013";"449597995";"HOGG ROBINSON GROUP LTD";"574.5"
"Lodged GPC";"11/09/2013";"451109750";"HOGG ROBINSON GROUP LTD";"699.5"
"Lodged GPC";"11/09/2013";"450725953";"HOGG ROBINSON GROUP LTD";"615.4"
"Lodged GPC";"11/09/2013";"450725954";"HOGG ROBINSON GROUP LTD";"615.4"
"Lodged GPC";"11/09/2013";"450725955";"HOGG ROBINSON GROUP LTD";"615.4"
"Lodged GPC";"12/09/2013";"451101183";"HOGG ROBINSON GROUP LTD";"3697.15"
"Lodged GPC";"12/09/2013";"451101182";"HOGG ROBINSON GROUP LTD";"1734.15"
"Lodged GPC";"12/09/2013";"451396518";"HOGG ROBINSON GROUP LTD";"1138.74"
"Lodged GPC";"12/09/2013";"451109892";"HOGG ROBINSON GROUP LTD";"683.91"
"Lodged GPC";"12/09/2013";"451109891";"HOGG ROBINSON GROUP LTD";"690.91"
"Lodged GPC";"18/09/2013";"452682140";"HOGG ROBINSON GROUP LTD";"2347.8"
"Lodged GPC";"20/09/2013";"453213036";"HOGG ROBINSON GROUP LTD";"570.28"
"Lodged GPC";"20/09/2013";"452682568";"HOGG ROBINSON GROUP LTD";"-2831.65"
"Lodged GPC";"20/09/2013";"452682569";"HOGG ROBINSON GROUP LTD";"-2831.65"
"Lodged GPC";"25/09/2013";"453788535";"HOGG ROBINSON GROUP LTD";"1264.45"
"Lodged GPC";"25/09/2013";"453788536";"HOGG ROBINSON GROUP LTD";"1264.45"
"Lodged GPC";"25/09/2013";"454179282";"HOGG ROBINSON GROUP LTD";"659.3"
"Lodged GPC";"25/09/2013";"453795727";"HOGG ROBINSON GROUP LTD";"4001.19"
"Lodged GPC";"26/09/2013";"454459154";"HOGG ROBINSON GROUP LTD";"612.19"
"Lodged GPC";"26/09/2013";"454173011";"HOGG ROBINSON GROUP LTD";"672.2"
"Lodged GPC";"26/09/2013";"454173012";"HOGG ROBINSON GROUP LTD";"672.2"
"Lodged GPC";"27/09/2013";"454173026";"HOGG ROBINSON GROUP LTD";"2983.0"
"Lodged GPC";"27/09/2013";"454725584";"HOGG ROBINSON GROUP LTD";"840.89"
"Lodged GPC";"27/09/2013";"454462949";"HOGG ROBINSON GROUP LTD";"547.7"
"Lodged GPC";"27/09/2013";"454173021";"HOGG ROBINSON GROUP LTD";"5444.45"
"Lodged GPC";"27/09/2013";"454173022";"HOGG ROBINSON GROUP LTD";"5444.45"
"Lodged GPC";"27/09/2013";"454173027";"HOGG ROBINSON GROUP LTD";"855.95"
"Lodged GPC";"30/09/2013";"455321157";"HOGG ROBINSON GROUP LTD";"989.45"
"Lodged GPC";"30/09/2013";"454724754";"HOGG ROBINSON GROUP LTD";"759.2"
"Lodged GPC";"30/09/2013";"454721367";"HOGG ROBINSON GROUP LTD";"1056.25"
"Individual GPC";"16/01/2013";"PCCL1656061";"BANNER BUSINESS SUPPLIES";"728.12"
"Individual GPC";"15/01/2013";"PCCL1652771";"ONLINE ERGONOMICS";"1051.8"
"Individual GPC";"21/01/2013";"PCCL1652791";"OSMOND GROUP LTD";"1899.6"
"Individual GPC";"30/01/2013";"PCCL1652831";"POSTURITE (UK) LTD";"817.94"
"Individual GPC";"19/01/2013";"PCCL1660181";"HOTELS VAN ORANJE-FID";"1259.66"
"Lodged GPC";"04/01/2013";"401101973";"Hogg Robinson Group Ltd";"-765.1"
"Lodged GPC";"08/01/2013";"401581066";"Hogg Robinson Group Ltd";"-607.6"
"Lodged GPC";"08/01/2013";"401581067";"Hogg Robinson Group Ltd";"-607.6"
"Lodged GPC";"08/01/2013";"401585828";"Hogg Robinson Group Ltd";"822.8"
"Lodged GPC";"08/01/2013";"401585829";"Hogg Robinson Group Ltd";"822.8"
"Lodged GPC";"08/01/2013";"401581060";"Hogg Robinson Group Ltd";"2532.59"
"Lodged GPC";"09/01/2013";"401815858";"Hogg Robinson Group Ltd";"1558.19"
"Lodged GPC";"09/01/2013";"401815857";"Hogg Robinson Group Ltd";"1670.69"
"Lodged GPC";"09/01/2013";"401815866";"Hogg Robinson Group Ltd";"3651.19"
"Lodged GPC";"09/01/2013";"402227711";"Hogg Robinson Group Ltd";"573.18"
"Lodged GPC";"09/01/2013";"401815873";"Hogg Robinson Group Ltd";"-2440.8"
"Lodged GPC";"09/01/2013";"401815874";"Hogg Robinson Group Ltd";"-2440.8"
"Lodged GPC";"10/01/2013";"402225226";"Hogg Robinson Group Ltd";"1558.19"
"Lodged GPC";"10/01/2013";"402234318";"Hogg Robinson Group Ltd";"-1210.09"
"Lodged GPC";"10/01/2013";"402234316";"Hogg Robinson Group Ltd";"2435.89"
"Lodged GPC";"10/01/2013";"402469465";"Hogg Robinson Group Ltd";"676.19"
"Lodged GPC";"11/01/2013";"402225219";"Hogg Robinson Group Ltd";"1553.29"
"Lodged GPC";"11/01/2013";"402225206";"Hogg Robinson Group Ltd";"6147.6"
"Lodged GPC";"14/01/2013";"402962801";"Hogg Robinson Group Ltd";"727.89"
"Lodged GPC";"14/01/2013";"402962800";"Hogg Robinson Group Ltd";"971.9"
"Lodged GPC";"15/01/2013";"402960493";"Hogg Robinson Group Ltd";"3651.19"
"Lodged GPC";"15/01/2013";"403244689";"Hogg Robinson Group Ltd";"806.83"
"Lodged GPC";"16/01/2013";"403242212";"Hogg Robinson Group Ltd";"534.55"
"Lodged GPC";"16/01/2013";"403637064";"Hogg Robinson Group Ltd";"778.84"
"Lodged GPC";"17/01/2013";"403643750";"Hogg Robinson Group Ltd";"-2929.69"
"Lodged GPC";"21/01/2013";"404082852";"Hogg Robinson Group Ltd";"565.0"
"Lodged GPC";"21/01/2013";"404082858";"Hogg Robinson Group Ltd";"920.0"
"Lodged GPC";"21/01/2013";"404082873";"Hogg Robinson Group Ltd";"-2532.59"
"Lodged GPC";"21/01/2013";"404082843";"Hogg Robinson Group Ltd";"550.5"
"Lodged GPC";"21/01/2013";"404082863";"Hogg Robinson Group Ltd";"2819.59"
